,id,gender,chipTime_16k,city,year,chipTime_21k,chipTime_32k,chipTime_42k,age
62,53,Male,1:13:50,Manila,2024,1:41:08,2:36:09,4:24:43,30-34
63,63,Male,1:16:27,Manila,2024,1:42:16,2:37:09,7:47:40,35-39
64,8989,Male,1:14:41,Cagayan de Oro,2025,1:35:53,2:37:14,,35-39
65,8533,Male,1:24:51,Cagayan de Oro,2024,1:36:41,2:37:21,3:54:28,30-34
66,3705,Male,1:15:38,Manila,2025,1:38:18,2:38:25,,30-34
67,11496,Male,1:14:59,Cebu,2024,1:42:19,2:38:36,,45-49
68,8498,Male,1:16:41,Cagayan de Oro,2024,1:36:10,2:38:56,,25-29
69,3666,Male,1:08:46,Manila,2025,1:30:36,2:38:59,,40-44
70,3706,Male,1:14:14,Manila,2025,1:50:39,2:39:18,,30-34
71,12435,Male,1:53:31,Davao,2024,2:28:24,2:39:21,,18-24
72,45,Male,1:13:42,Manila,2024,1:39:24,2:39:38,3:44:55,30-34
73,3688,Male,1:13:47,Manila,2025,2:17:10,2:39:48,,40-44
74,6327,Male,1:56:46,Manila,2025,1:58:03,2:39:50,,45-49
75,3686,Male,1:13:34,Manila,2025,1:41:43,2:39:55,,35-39
76,3687,Male,1:13:37,Manila,2025,1:41:47,2:39:58,,35-39
77,3665,Male,1:08:20,Manila,2025,1:36:37,2:40:13,,25-29
78,12133,Male,1:18:47,Davao,2024,1:56:42,2:40:13,,25-29
79,69,Male,1:14:38,Manila,2024,1:39:12,2:40:17,3:54:19,25-29
80,3679,Male,1:12:02,Manila,2025,1:39:28,2:40:19,,60-64
81,62,Male,1:16:13,Manila,2024,1:39:45,2:40:28,3:50:31,45-49
82,61,Male,1:16:06,Manila,2024,1:49:38,2:40:45,,25-29
83,27,Male,1:10:41,Manila,2024,1:34:16,2:40:54,,30-34
84,38,Male,1:11:55,Manila,2024,1:48:29,2:41:10,4:16:28,45-49
85,3678,Male,1:12:03,Manila,2025,1:38:21,2:41:21,,25-29
86,10376,Male,1:25:33,Iloilo-Bacolod,2024,1:44:28,2:41:39,4:29:25,30-34
87,75,Male,1:17:46,Manila,2024,1:43:43,2:41:46,,30-34
88,11489,Male,1:11:05,Cebu,2024,1:42:36,2:41:52,4:03:30,35-39
89,8988,Male,1:13:41,Cagayan de Oro,2025,1:40:42,2:42:14,,45-49
90,12118,Male,1:13:18,Davao,2024,1:40:27,2:42:20,3:40:53,25-29
91,146,Male,1:22:55,Manila,2024,1:37:54,2:42:23,3:40:13,35-39
92,10346,Male,1:13:20,Iloilo-Bacolod,2024,1:39:39,2:42:32,4:19:28,40-44
93,3707,Female,1:16:53,Manila,2025,1:45:49,2:42:32,,40-44
94,8987,Male,1:13:32,Cagayan de Oro,2025,1:38:33,2:42:51,,50-54
95,37,Male,1:11:51,Manila,2024,2:08:16,2:43:02,3:43:01,35-39
96,3737,Male,1:19:29,Manila,2025,1:43:41,2:43:08,,35-39
97,126,Male,1:17:31,Manila,2024,1:46:11,2:43:09,,35-39
98,8677,Male,1:45:16,Cagayan de Oro,2024,1:44:35,2:43:17,3:53:16,55-59
99,989,Female,1:42:26,Manila,2024,2:50:32,2:43:56,,35-39
100,12126,Male,1:15:02,Davao,2024,1:40:52,2:43:59,4:10:44,25-29
101,10367,Male,1:25:15,Iloilo-Bacolod,2024,1:42:00,2:44:05,3:57:54,40-44
102,3728,Male,1:16:21,Manila,2025,1:37:24,2:44:13,,18-24
103,4701,Male,1:43:49,Manila,2025,2:11:28,2:44:26,,75-79
104,11505,Male,1:17:57,Cebu,2024,1:44:58,2:44:27,,30-34
105,1598,Male,1:56:00,Manila,2024,1:29:26,2:44:29,3:31:05,30-34
106,8085,Male,2:42:36,Manila,2025,3:33:13,2:44:30,,40-44
107,19,Male,1:09:41,Manila,2024,1:38:41,2:44:41,3:49:52,18-24
108,3187,Female,2:28:41,Manila,2024,3:48:30,2:45:20,,25-29
109,3871,Female,1:26:44,Manila,2025,1:48:56,2:45:39,,40-44
110,10361,Male,1:21:58,Iloilo-Bacolod,2024,1:40:26,2:45:41,,U
111,10830,Female,1:14:22,Baguio,2024,1:38:40,2:45:43,,30-34
112,122,Male,1:21:18,Manila,2024,1:48:03,2:45:47,,35-39
113,11503,Male,1:17:52,Cebu,2024,1:44:31,2:45:50,,35-39
114,3766,Male,1:21:11,Manila,2025,1:41:18,2:45:52,,18-24
115,8503,Male,1:17:36,Cagayan de Oro,2024,1:43:35,2:46:08,,30-34
116,9026,Male,1:20:56,Cagayan de Oro,2025,1:45:00,2:46:10,,40-44
117,3690,Male,1:13:57,Manila,2025,1:39:21,2:46:19,,70-74
118,9398,Male,1:43:49,Cagayan de Oro,2025,1:43:52,2:46:30,,35-39
119,28,Male,1:11:03,Manila,2024,1:49:59,2:46:32,5:13:21,35-39
120,55,Male,1:15:11,Manila,2024,1:40:50,2:46:55,,30-34
121,8748,Male,1:56:05,Cagayan de Oro,2024,2:02:04,2:47:04,,30-34
122,102,Male,1:18:59,Manila,2024,1:38:38,2:47:10,3:48:37,50-54
123,111,Male,1:20:42,Manila,2024,1:46:56,2:47:28,3:47:08,35-39
124,7643,Female,2:19:33,Manila,2025,3:03:06,2:47:29,,30-34
125,11545,Male,1:27:30,Cebu,2024,1:49:10,2:47:36,3:59:20,35-39
126,3994,Male,1:16:37,Manila,2025,1:35:35,2:47:48,,25-29
127,3716,Male,1:17:30,Manila,2025,1:49:10,2:47:52,,30-34
128,31,Male,1:10:43,Manila,2024,1:37:01,2:48:00,,45-49
129,166,Male,1:20:55,Manila,2024,1:53:51,2:48:04,4:44:16,25-29
130,3829,Male,1:21:48,Manila,2025,1:43:53,2:48:11,,35-39
131,105,Male,1:20:21,Manila,2024,1:47:53,2:48:19,4:02:18,35-39
132,3801,Male,1:24:13,Manila,2025,1:43:25,2:48:22,,30-34
133,133,Male,1:22:21,Manila,2024,1:49:26,2:48:24,,30-34
134,112,Male,1:20:32,Manila,2024,1:44:23,2:48:25,3:49:07,18-24
135,3729,Male,1:18:52,Manila,2025,1:42:55,2:48:26,,18-24
136,11493,Male,1:13:37,Cebu,2024,1:43:01,2:48:45,4:00:16,30-34
137,52,Male,1:13:49,Manila,2024,1:44:02,2:48:47,4:26:31,45-49
138,210,Male,1:23:31,Manila,2024,1:55:43,2:48:57,3:58:23,35-39
139,12125,Male,1:15:06,Davao,2024,1:41:46,2:49:07,4:13:01,35-39
140,11728,Male,1:46:20,Cebu,2024,1:53:30,2:49:19,3:43:39,35-39
141,8539,Male,1:25:43,Cagayan de Oro,2024,1:52:39,2:49:38,3:57:01,35-39
142,7867,Male,2:26:30,Manila,2025,1:58:58,2:49:39,,40-44
143,12144,Male,1:22:47,Davao,2024,1:44:12,2:50:09,3:54:41,30-34
144,3733,Male,1:19:16,Manila,2025,1:53:40,2:50:30,,35-39
145,376,Male,1:30:06,Manila,2024,2:16:35,2:50:31,,50-54
146,4133,Male,1:23:12,Manila,2025,1:46:43,2:50:33,,55-59
147,9300,Male,1:39:42,Cagayan de Oro,2025,3:03:55,2:50:33,,35-39
148,12146,Male,1:23:26,Davao,2024,1:46:22,2:50:38,,45-49
149,8515,Male,1:20:12,Cagayan de Oro,2024,1:42:52,2:50:40,4:31:52,40-44
150,3702,Male,1:15:55,Manila,2025,1:46:15,2:50:40,,55-59
151,10885,Male,1:32:19,Baguio,2024,1:58:54,2:50:43,,25-29
152,10844,Male,1:20:13,Baguio,2024,1:42:50,2:51:08,,40-44
153,3727,Male,1:18:34,Manila,2025,3:05:22,2:51:12,,30-34
154,3742,Male,1:19:45,Manila,2025,1:46:44,2:51:15,,40-44
155,11502,Male,1:17:28,Cebu,2024,1:47:06,2:51:27,,45-49
156,4698,Male,1:44:59,Manila,2025,3:13:02,2:51:38,,30-34
157,8997,Female,1:16:05,Cagayan de Oro,2025,2:01:27,2:51:46,,25-29
158,4097,Male,1:20:49,Manila,2025,1:45:45,2:51:55,,35-39
159,12134,Male,1:19:07,Davao,2024,1:42:39,2:51:56,4:13:24,40-44
160,3770,Male,1:20:57,Manila,2025,1:47:55,2:52:39,,35-39
161,12184,Male,1:29:01,Davao,2024,1:49:42,2:52:39,3:57:47,50-54
162,3722,Male,1:18:04,Manila,2025,1:47:45,2:52:42,,45-49
163,10354,Male,1:19:16,Iloilo-Bacolod,2024,1:46:47,2:52:43,,55-59
164,12639,Male,2:10:48,Davao,2024,1:48:35,2:52:44,6:31:08,30-34
165,11526,Male,1:23:24,Cebu,2024,1:46:56,2:52:48,3:51:36,30-34
166,7804,Male,2:31:19,Manila,2025,3:32:04,2:52:49,,40-44
167,8399,Male,2:29:52,Manila,2025,3:40:20,2:52:52,,30-34
168,3726,Male,1:17:54,Manila,2025,1:48:23,2:52:57,,30-34
169,3977,Male,1:29:07,Manila,2025,1:54:34,2:53:10,,25-29
170,78,Male,1:18:18,Manila,2024,1:40:24,2:53:21,4:06:27,30-34
171,12244,Male,1:35:32,Davao,2024,1:53:41,2:53:31,,35-39
172,12124,Male,1:14:38,Davao,2024,1:39:47,2:53:56,7:26:01,30-34
173,202,Male,1:26:01,Manila,2024,1:51:28,2:54:11,,30-34
174,66,Male,1:16:30,Manila,2024,1:49:02,2:54:22,3:58:03,35-39
175,9049,Male,1:23:53,Cagayan de Oro,2025,1:50:54,2:54:22,,30-34
176,12185,Male,1:29:00,Davao,2024,1:55:35,2:54:31,4:00:20,30-34
177,8508,Male,1:19:12,Cagayan de Oro,2024,1:47:40,2:54:32,,35-39
178,1619,Male,1:52:36,Manila,2024,1:43:37,2:54:36,4:20:12,40-44
179,3699,Male,1:15:11,Manila,2025,1:44:47,2:54:41,,30-34
180,12139,Male,1:21:02,Davao,2024,1:44:53,2:54:41,,45-49
181,12344,Male,1:44:19,Davao,2024,1:56:41,2:54:41,3:50:36,30-34
182,3692,Male,1:14:13,Manila,2025,1:44:47,2:54:44,,35-39
183,1063,Male,1:47:03,Manila,2024,2:14:51,2:54:50,4:00:01,25-29
184,12059,Male,2:28:36,Cebu,2024,2:16:40,2:54:54,,25-29
185,8510,Male,1:19:24,Cagayan de Oro,2024,1:54:22,2:55:07,,35-39
186,11523,Male,1:23:06,Cebu,2024,1:45:34,2:55:28,4:02:29,35-39
187,374,Male,1:27:43,Manila,2024,1:53:36,2:55:48,,30-34
188,3730,Male,1:19:07,Manila,2025,1:48:48,2:55:52,,25-29
189,10520,Male,1:47:10,Iloilo-Bacolod,2024,2:22:43,2:55:54,,40-44
190,8518,Male,1:22:32,Cagayan de Oro,2024,1:49:49,2:56:03,4:02:02,45-49
191,8524,Male,1:23:30,Cagayan de Oro,2024,1:47:36,2:56:04,,35-39
192,8528,Male,1:24:25,Cagayan de Oro,2024,1:46:44,2:56:07,5:28:09,30-34
193,3753,Male,1:19:42,Manila,2025,1:48:43,2:56:09,,18-24
194,432,Male,1:27:08,Manila,2024,2:04:34,2:56:18,4:46:06,25-29
195,3754,Female,1:20:38,Manila,2025,1:49:19,2:56:24,,25-29
196,3724,Male,1:18:01,Manila,2025,1:50:05,2:56:25,,45-49
197,3889,Male,1:27:27,Manila,2025,1:48:23,2:56:41,,45-49
198,71,Male,1:16:49,Manila,2024,1:55:21,2:56:42,,25-29
199,11515,Male,1:21:01,Cebu,2024,1:45:02,2:56:45,,25-29
200,9047,Male,1:23:04,Cagayan de Oro,2025,1:57:42,2:56:48,,35-39
201,10585,Male,1:57:31,Iloilo-Bacolod,2024,3:01:07,2:56:49,,25-29
202,104,Male,1:19:49,Manila,2024,1:58:55,2:56:50,,40-44
203,12127,Male,1:16:06,Davao,2024,1:38:55,2:56:54,,30-34
204,10429,Male,1:35:07,Iloilo-Bacolod,2024,1:49:08,2:56:55,4:01:19,25-29
205,9168,Female,1:31:58,Cagayan de Oro,2025,1:52:22,2:56:56,,40-44
206,4084,Male,1:20:28,Manila,2025,1:48:44,2:56:57,,40-44
207,3822,Male,1:22:34,Manila,2025,1:50:55,2:57:00,,45-49
208,12129,Male,1:17:19,Davao,2024,1:41:21,2:57:13,,35-39
209,11512,Male,1:20:52,Cebu,2024,1:54:59,2:57:13,,55-59
210,8585,Male,1:32:28,Cagayan de Oro,2024,1:46:01,2:57:32,4:03:34,35-39
211,3819,Male,1:23:28,Manila,2025,1:44:45,2:57:36,,18-24
212,4219,Male,1:26:20,Manila,2025,1:54:56,2:57:39,,25-29
213,3777,Male,1:22:10,Manila,2025,1:43:22,2:57:42,,30-34
214,3857,Male,1:15:28,Manila,2025,1:41:41,2:57:49,,30-34
215,80,Male,1:18:32,Manila,2024,1:50:23,2:57:49,4:40:50,25-29
216,3798,Male,1:23:52,Manila,2025,1:52:36,2:57:49,,35-39
217,3830,Male,1:25:21,Manila,2025,1:52:32,2:57:51,,25-29
218,3978,Male,1:28:51,Manila,2025,1:52:12,2:57:52,,35-39
219,9031,Male,1:22:03,Cagayan de Oro,2025,1:56:13,2:57:53,,30-34
220,4054,Male,1:21:37,Manila,2025,1:40:54,2:57:54,,25-29
221,3921,Male,1:27:08,Manila,2025,1:55:39,2:57:56,,35-39
222,5492,Male,1:53:35,Manila,2025,1:55:25,2:58:02,,18-24
223,3825,Male,1:24:19,Manila,2025,1:52:00,2:58:05,,30-34
224,5264,Male,1:52:19,Manila,2025,1:49:40,2:58:17,,25-29
225,3985,Male,1:20:15,Manila,2025,1:45:45,2:58:32,,30-34
226,12155,Male,1:24:52,Davao,2024,1:50:31,2:58:35,4:09:24,45-49
227,3911,Male,1:28:05,Manila,2025,1:53:01,2:58:35,,25-29
228,8513,Male,1:20:17,Cagayan de Oro,2024,1:51:39,2:58:42,,30-34
229,4565,Male,1:42:02,Manila,2025,2:00:46,2:58:42,,30-34
230,2161,Male,2:03:48,Manila,2024,3:00:10,2:58:49,7:08:59,30-34
231,12154,Male,1:25:10,Davao,2024,1:55:39,2:58:52,4:17:29,50-54
232,118,Male,1:21:01,Manila,2024,2:00:40,2:58:52,,30-34
233,2309,Male,2:07:14,Manila,2024,2:51:58,2:59:00,6:00:53,45-49
234,3916,Male,1:25:35,Manila,2025,1:48:18,2:59:09,,35-39
235,17,Male,1:08:10,Manila,2024,2:24:59,2:59:10,,40-44
236,3739,Male,1:18:54,Manila,2025,1:58:41,2:59:14,,25-29
237,4220,Male,1:26:23,Manila,2025,1:46:50,2:59:18,,25-29
238,3815,Male,1:24:48,Manila,2025,1:52:36,2:59:21,,35-39
239,366,Male,1:31:40,Manila,2024,1:58:14,2:59:23,,25-29
240,8529,Male,1:24:17,Cagayan de Oro,2024,1:44:54,2:59:27,,25-29
241,3899,Male,1:26:57,Manila,2025,1:55:49,2:59:31,,30-34
242,135,Male,1:22:12,Manila,2024,1:50:52,2:59:33,4:16:14,60-64
243,100,Male,1:19:36,Manila,2024,1:48:57,2:59:36,4:49:32,40-44
244,10394,Male,1:30:32,Iloilo-Bacolod,2024,1:44:05,2:59:38,4:01:35,45-49
245,12223,Male,1:33:22,Davao,2024,1:50:43,2:59:52,5:52:02,30-34
246,87,Male,1:19:09,Manila,2024,1:51:27,2:59:57,5:27:22,30-34
247,3700,Male,1:15:10,Manila,2025,1:41:28,3:00:00,,30-34
248,235,Male,1:27:24,Manila,2024,1:56:55,3:00:00,4:37:49,25-29
249,121,Male,1:21:24,Manila,2024,1:45:07,3:00:01,,30-34
250,205,Male,1:25:21,Manila,2024,1:58:05,3:00:04,4:33:06,30-34
251,246,Female,1:24:18,Manila,2024,1:50:23,3:00:23,4:01:35,25-29
252,12135,Male,1:19:21,Davao,2024,1:50:28,3:00:23,4:10:19,40-44
253,3775,Male,1:19:47,Manila,2025,1:44:54,3:00:24,,25-29
254,10651,Female,2:08:16,Iloilo-Bacolod,2024,2:53:53,3:00:29,,45-49
255,1886,Male,1:59:34,Manila,2024,2:12:46,3:00:32,,30-34
256,8527,Male,1:24:17,Cagayan de Oro,2024,1:42:05,3:00:47,,30-34
257,446,Male,1:33:28,Manila,2024,2:24:52,3:00:52,4:30:37,25-29
258,1435,Male,1:50:10,Manila,2024,2:32:03,3:01:04,,35-39
259,3149,Male,2:31:34,Manila,2024,1:40:41,3:01:06,3:40:26,25-29
260,158,Male,1:23:34,Manila,2024,1:57:41,3:01:07,5:40:10,25-29
261,268,Male,1:27:52,Manila,2024,1:56:54,3:01:16,4:23:59,25-29
262,1436,Female,1:50:11,Manila,2024,2:32:06,3:01:16,,45-49
263,3917,Male,1:27:23,Manila,2025,1:57:40,3:01:18,,30-34
264,9197,Male,1:32:59,Cagayan de Oro,2025,1:55:18,3:01:22,,30-34
265,9076,Male,1:25:24,Cagayan de Oro,2025,1:56:50,3:01:25,,55-59
266,9034,Female,1:22:35,Cagayan de Oro,2025,1:57:20,3:01:25,,25-29
267,7939,Male,2:38:54,Manila,2025,2:29:32,3:01:30,,25-29
268,7029,Male,2:17:55,Manila,2025,2:42:10,3:01:36,,30-34
269,3790,Male,1:21:54,Manila,2025,1:53:13,3:01:38,,30-34
270,3789,Male,1:21:53,Manila,2025,1:52:58,3:01:41,,30-34
271,8501,Male,1:17:21,Cagayan de Oro,2024,1:43:17,3:01:43,4:20:49,18-24
272,8558,Male,1:28:08,Cagayan de Oro,2024,2:00:39,3:01:44,4:54:31,45-49
273,10355,Male,1:19:59,Iloilo-Bacolod,2024,1:42:12,3:01:46,5:01:19,30-34
274,10378,Male,1:26:30,Iloilo-Bacolod,2024,1:48:44,3:01:53,,40-44
275,11530,Female,1:24:29,Cebu,2024,1:45:15,3:01:55,,50-54
276,12211,Male,1:33:16,Davao,2024,1:52:26,3:01:57,4:40:53,35-39
277,12160,Female,1:26:05,Davao,2024,1:56:50,3:01:57,5:20:40,35-39
278,3738,Male,1:18:52,Manila,2025,1:44:34,3:02:00,,25-29
279,10365,Male,1:23:47,Iloilo-Bacolod,2024,1:49:48,3:02:09,,18-24
280,10364,Male,1:22:56,Iloilo-Bacolod,2024,1:43:54,3:02:10,,45-49
281,209,Male,1:23:06,Manila,2024,1:49:52,3:02:10,,35-39
282,9078,Male,1:26:33,Cagayan de Oro,2025,2:03:58,3:02:10,,25-29
283,10519,Female,1:47:10,Iloilo-Bacolod,2024,2:22:45,3:02:11,,35-39
284,195,Male,1:26:02,Manila,2024,1:53:54,3:02:16,,30-34
285,12137,Male,1:20:20,Davao,2024,1:47:36,3:02:17,3:56:01,30-34
286,12814,Female,2:39:05,Davao,2024,3:30:54,3:02:18,,30-34
287,8535,Male,1:24:32,Cagayan de Oro,2024,1:39:48,3:02:20,4:03:57,45-49
288,8536,Male,1:25:00,Cagayan de Oro,2024,1:51:11,3:02:27,5:28:02,45-49
289,159,Male,1:23:31,Manila,2024,1:48:00,3:02:34,4:07:10,25-29
290,9208,Male,1:32:42,Cagayan de Oro,2025,1:59:24,3:02:49,,35-39
291,3939,Male,1:26:32,Manila,2025,1:53:04,3:03:04,,35-39
292,120,Male,1:21:23,Manila,2024,1:53:09,3:03:08,,40-44
293,8530,Male,1:24:39,Cagayan de Oro,2024,1:50:11,3:03:12,4:35:53,30-34
294,10832,Male,1:15:22,Baguio,2024,1:39:57,3:03:17,4:07:31,18-24
295,8566,Male,1:30:10,Cagayan de Oro,2024,1:55:04,3:03:18,4:26:32,40-44
296,12445,Male,1:54:33,Davao,2024,1:53:32,3:03:23,,25-29
297,3812,Male,1:24:52,Manila,2025,1:53:31,3:03:40,,35-39
298,119,Male,1:20:40,Manila,2024,2:20:05,3:03:41,4:21:07,35-39
299,95,Male,1:19:38,Manila,2024,1:52:34,3:03:42,,40-44
300,11529,Male,1:24:08,Cebu,2024,1:50:48,3:03:44,,35-39
301,12180,Male,1:27:50,Davao,2024,1:51:59,3:03:46,4:20:28,30-34
302,12642,Male,2:10:49,Davao,2024,1:43:27,3:03:47,,18-24
303,3787,Male,1:21:47,Manila,2025,1:44:13,3:03:54,,35-39
304,8574,Male,1:31:55,Cagayan de Oro,2024,1:31:24,3:03:55,5:55:36,40-44
305,116,Male,1:19:27,Manila,2024,1:50:19,3:03:57,4:19:20,35-39
306,5013,Female,1:35:55,Manila,2025,1:58:00,3:04:02,,35-39
307,187,Male,1:24:37,Manila,2024,1:53:18,3:04:08,,35-39
308,3776,Male,1:22:01,Manila,2025,1:53:38,3:04:17,,55-59
309,3996,Male,1:28:55,Manila,2025,1:55:40,3:04:19,,30-34
310,11510,Male,1:20:37,Cebu,2024,1:57:20,3:04:23,3:54:47,35-39
311,86,Male,1:19:12,Manila,2024,1:58:36,3:04:26,4:06:07,30-34
312,1006,Male,1:43:23,Manila,2024,1:59:31,3:04:29,,30-34
313,340,Male,1:24:52,Manila,2024,1:53:49,3:04:34,4:20:10,25-29
314,163,Female,1:24:17,Manila,2024,1:55:53,3:04:34,,35-39
315,3772,Male,1:21:48,Manila,2025,2:04:46,3:04:37,,30-34
316,149,Male,1:23:33,Manila,2024,1:55:29,3:04:42,4:15:30,35-39
317,330,Male,1:28:22,Manila,2024,1:50:43,3:04:49,4:30:40,30-34
318,11537,Male,1:25:49,Cebu,2024,1:53:54,3:04:52,4:17:28,25-29
319,9093,Male,1:27:27,Cagayan de Oro,2025,1:52:27,3:04:57,,35-39
320,12148,Male,1:23:45,Davao,2024,1:54:34,3:04:57,,30-34
321,3864,Male,1:26:30,Manila,2025,1:55:40,3:04:57,,30-34
322,3744,Male,1:17:25,Manila,2025,1:43:51,3:04:59,,30-34
323,3743,Male,1:17:25,Manila,2025,1:46:01,3:04:59,,25-29
324,11611,Male,1:35:49,Cebu,2024,1:55:50,3:05:09,4:20:48,30-34
325,3913,Male,1:27:18,Manila,2025,1:49:33,3:05:12,,25-29
326,8560,Male,1:28:54,Cagayan de Oro,2024,2:27:07,3:05:19,4:07:56,45-49
327,10379,Male,1:26:45,Iloilo-Bacolod,2024,1:49:12,3:05:24,,35-39
328,12193,Male,1:29:19,Davao,2024,1:53:07,3:05:24,5:26:39,25-29
329,3816,Male,1:23:32,Manila,2025,1:58:46,3:05:29,,40-44
330,290,Male,1:28:57,Manila,2024,1:56:07,3:05:34,4:12:29,25-29
331,40,Male,1:12:25,Manila,2024,1:42:50,3:05:39,,25-29
332,324,Male,1:27:36,Manila,2024,1:58:03,3:05:42,,30-34
333,188,Male,1:22:44,Manila,2024,1:50:16,3:05:43,,35-39
334,1848,Male,2:00:22,Manila,2024,2:54:04,3:05:43,,30-34
335,10541,Female,1:50:18,Iloilo-Bacolod,2024,2:11:10,3:05:44,5:10:16,40-44
336,197,Male,1:26:07,Manila,2024,2:16:13,3:05:46,5:11:18,30-34
337,4509,Female,1:31:35,Manila,2025,2:01:16,3:05:55,,30-34
338,12415,Female,1:52:27,Davao,2024,2:01:27,3:05:55,,30-34
